1    Input Finished. Beginning initialisation.
159  2.840000E+00  -5.997062E+00 
160  2.839000E+00  -5.991144E+00 
161  2.838000E+00  -5.985246E+00 
162  2.837000E+00  -5.979377E+00 
163  2.836000E+00  -5.973534E+00 
164  2.835000E+00  -5.967714E+00 
165  2.834000E+00  -5.961913E+00 
166  2.833000E+00  -5.956128E+00 
167  2.832000E+00  -5.950357E+00 
168  2.831000E+00  -5.944596E+00 
169  2.830000E+00  -5.938842E+00 
170  2.829000E+00  -5.933093E+00 
171  2.828000E+00  -5.927336E+00 
172  2.827000E+00  -5.921559E+00 
173  2.826000E+00  -5.915766E+00 
174  2.825000E+00  -5.909960E+00 
175  2.824000E+00  -5.904143E+00 
176  2.823000E+00  -5.898317E+00 
177  2.822000E+00  -5.892487E+00 
178  2.821000E+00  -5.886656E+00 
179  2.820000E+00  -5.880827E+00 
180  2.819000E+00  -5.875003E+00 
181  2.818000E+00  -5.869196E+00 
182  2.817000E+00  -5.863415E+00 
183  2.816000E+00  -5.857657E+00 
184  2.815000E+00  -5.851918E+00 
185  2.814000E+00  -5.846196E+00 
186  2.813000E+00  -5.840487E+00 
187  2.812000E+00  -5.834788E+00 
188  2.811000E+00  -5.829096E+00 
189  2.810000E+00  -5.823408E+00 
190  2.809000E+00  -5.817722E+00 
191  2.808000E+00  -5.812023E+00 
192  2.807000E+00  -5.806301E+00 
193  2.806000E+00  -5.800559E+00 
194  2.805000E+00  -5.794801E+00 
195  2.804000E+00  -5.789028E+00 
196  2.803000E+00  -5.783245E+00 
197  2.802000E+00  -5.777453E+00 
198  2.801000E+00  -5.771657E+00 
199  2.800000E+00  -5.765858E+00 
200  2.799000E+00  -5.760060E+00 
201  2.798000E+00  -5.754276E+00 
202  2.797000E+00  -5.748517E+00 
203  2.796000E+00  -5.742778E+00 
204  2.795000E+00  -5.737057E+00 
205  2.794000E+00  -5.731349E+00 
206  2.793000E+00  -5.725652E+00 
207  2.792000E+00  -5.719963E+00 
208  2.791000E+00  -5.714278E+00 
209  2.790000E+00  -5.708593E+00 
210  2.789000E+00  -5.702906E+00 
211  2.788000E+00  -5.697203E+00 
212  2.787000E+00  -5.691471E+00 
213  2.786000E+00  -5.685714E+00 
214  2.785000E+00  -5.679935E+00 
215  2.784000E+00  -5.674138E+00 
216  2.783000E+00  -5.668326E+00 
217  2.782000E+00  -5.662502E+00 
218  2.781000E+00  -5.656670E+00 
219  2.780000E+00  -5.650833E+00 
220  2.779000E+00  -5.644994E+00 
221  2.778000E+00  -5.639168E+00 
222  2.777000E+00  -5.633368E+00 
223  2.776000E+00  -5.627588E+00 
224  2.775000E+00  -5.621826E+00 
225  2.774000E+00  -5.616077E+00 
226  2.773000E+00  -5.610339E+00 
227  2.772000E+00  -5.604608E+00 
228  2.771000E+00  -5.598880E+00 
229  2.770000E+00  -5.593152E+00 
230  2.769000E+00  -5.587421E+00 
231  2.768000E+00  -5.581670E+00 
232  2.767000E+00  -5.575889E+00 
233  2.766000E+00  -5.570080E+00 
234  2.765000E+00  -5.564247E+00 
235  2.764000E+00  -5.558394E+00 
236  2.763000E+00  -5.552524E+00 
237  2.762000E+00  -5.546640E+00 
238  2.761000E+00  -5.540747E+00 
239  2.760000E+00  -5.534848E+00 
240  2.759000E+00  -5.528946E+00 
241  2.758000E+00  -5.523058E+00 
242  2.757000E+00  -5.517196E+00 
243  2.756000E+00  -5.511357E+00 
244  2.755000E+00  -5.505536E+00 
245  2.754000E+00  -5.499728E+00 
246  2.753000E+00  -5.493932E+00 
247  2.752000E+00  -5.488141E+00 
248  2.751000E+00  -5.482353E+00 
249  2.750000E+00  -5.476564E+00 
250  2.749000E+00  -5.470771E+00 
251  2.748000E+00  -5.464957E+00 
252  2.747000E+00  -5.459108E+00 
253  2.746000E+00  -5.453228E+00 
254  2.745000E+00  -5.447322E+00 
255  2.744000E+00  -5.441392E+00 
256  2.743000E+00  -5.435442E+00 
257  2.742000E+00  -5.429477E+00 
258  2.741000E+00  -5.423500E+00 
259  2.740000E+00  -5.417514E+00 
260  2.739000E+00  -5.411524E+00 
261  2.738000E+00  -5.405547E+00 
262  2.737000E+00  -5.399597E+00 
263  2.736000E+00  -5.393669E+00 
264  2.735000E+00  -5.387758E+00 
265  2.734000E+00  -5.381861E+00 
266  2.733000E+00  -5.375974E+00 
267  2.732000E+00  -5.370092E+00 
